gradute,fauculty,programme,age
Undergraduate,FST,PhD Computer Science,22
Undergraduate,FHE,BSc Mathematics,23
Undergraduate,FHE,BSc Nursing,28
Postgraduate,FST,BSc Pharmacy,24
Undergraduate,FHE,BA Visual Arts,19
Undergraduate,FSS,PhD Computer Science,21
Undergraduate,FFA,PhD Computer Science,29
Postgraduate,FSS,MPhil Creative Arts,20
Postgraduate,FSS,BSc Computer Science,21
Postgraduate,FST,MSc Management Studies,18
Postgraduate,FHE,MSc Data Science,25
Undergraduate,FST,MSc Data Science,29
Undergraduate,FHE,BSc Mathematics,29
Postgraduate,FFA,MSc Data Science,22
Postgraduate,FHE,MSc Data Science,20
Undergraduate,FST,PhD Computer Science,23
Undergraduate,FST,BSc Nursing,24
Undergraduate,FST,MSc Management Studies,18
Postgraduate,FSS,BA Visual Arts,24
Postgraduate,FST,MSc Management Studies,29
Undergraduate,FFA,MSc Economics,26
Postgraduate,FSS,MSc Data Science,24
Undergraduate,FFA,BSc Nursing,25
Postgraduate,FSS,BA Visual Arts,28
Undergraduate,FHE,BA Visual Arts,21
Postgraduate,FHE,MPhil Creative Arts,26
Undergraduate,FHE,BSc Mathematics,22
Undergraduate,FFA,MPhil Creative Arts,25
Postgraduate,FHE,MPhil Creative Arts,24
Postgraduate,FSS,BSc Computer Science,24
